општина,конто,опис конта,република ,аутономна покрајина,општина града,ООСО,донације,остали извори,укупно
БАБУШНИЦА,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
БАБУШНИЦА,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,0,0,0,0,0
БАБУШНИЦА,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
БАБУШНИЦА,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
ВРБАС,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",7852,0,230799,0,0,12148,250799
ВРБАС,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),1428,0,41251,0,0,2149,44828
ВРБАС,413,НАКНАДЕ У НАТУРИ (5180),0,0,199,0,0,128,327
ВРБАС,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),2501,0,6471,737,0,5287,14996
ВРБАС,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),0,0,2530,0,0,1098,3628
ВРБАС,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,100,0,0,82,182
ВРБАС,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,0,0,0,0,0
ВРБАС,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
ВРБАС,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),454,0,74574,0,0,4287,79315
ВРБАС,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),135,0,48213,0,0,1099,49447
ВРБАС,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),257,270,41510,0,0,5013,47050
ВРБАС,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),1855,1969,61092,0,0,2572,67488
ВРБАС,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),624,1739,65661,0,0,3868,71892
ВРБАС,426,МАТЕРИЈАЛ (од 5230 до 5238),0,0,29439,0,0,2795,32234
ВРБАС,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,1344,1344
ВРБАС,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
ВРБАС,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
ВРБАС,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
ВРБАС,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,0,0
ВРБАС,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,18008,0,0,81,18089
ВРБАС,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,0,0,0,0,0
ВРБАС,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
ВРБАС,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),0,0,0,0,0,5,5
ВРБАС,451,СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА (5280 + 5281),0,0,48755,0,0,66,48821
ВРБАС,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,0,0,0,0,0
ВРБАС,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
ВРБАС,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
ВРБАС,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
ВРБАС,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
ВРБАС,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),0,0,69187,0,0,1410,70597
ВРБАС,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
ВРБАС,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,0,0,0,2,2
ВРБАС,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
ВРБАС,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),0,0,15339,0,0,1473,16812
ВРБАС,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),0,0,24169,0,0,821,24990
ВРБАС,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",0,0,1806,0,0,422,2228
ВРБАС,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,2509,0,0,39,2548
ВРБАС,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,0,0,0,0,0
ВРБАС,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,1852,0,0,0,1852
ВРБАС,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
ВРБАС,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),0,0,24167,0,10193,0,34360
ВРБАС,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),0,0,13216,0,30,2909,16155
ВРБАС,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
ВРБАС,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
ВРБАС,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,0,0,0,0,0
ВРБАС,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
ВРБАС,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
ВРБАС,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,0,0
ВРБАС,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
ВРБАС,541,ЗЕМЉИШТЕ (5376),0,0,775,0,0,0,775
ВРБАС,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
ВРБАС,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
ВРБАС,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
ВРБАС,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,759,58981,0,0,193,59933
ВРБАС,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
ВРБАС,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
ВРБАС,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,824,0,0,298,1122
ВРБАС,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,49,0,0,0,49
ВРБАС,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
ВРБАС,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
ТИТЕЛ,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",4784,0,40611,0,0,1206,46601
ТИТЕЛ,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),1265,0,6949,0,0,127,8341
ТИТЕЛ,413,НАКНАДЕ У НАТУРИ (5180),5,0,72,0,0,134,211
ТИТЕЛ,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),0,0,399,262,0,231,892
ТИТЕЛ,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),0,0,672,0,0,92,764
ТИТЕЛ,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,0,0,0,0,0
ТИТЕЛ,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,1616,0,0,0,1616
ТИТЕЛ,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
ТИТЕЛ,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),53,0,11206,0,0,596,11855
ТИТЕЛ,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),0,1,5669,0,0,203,5873
ТИТЕЛ,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),94,0,14155,0,0,805,15054
ТИТЕЛ,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),35,1646,12577,0,0,676,14934
ТИТЕЛ,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),0,0,5590,0,0,813,6403
ТИТЕЛ,426,МАТЕРИЈАЛ (од 5230 до 5238),21,1,4110,0,0,2237,6369
ТИТЕЛ,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,0,0
ТИТЕЛ,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
ТИТЕЛ,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
ТИТЕЛ,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
ТИТЕЛ,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,0,0
ТИТЕЛ,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,2589,0,0,15,2604
ТИТЕЛ,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,0,0,0,0,0
ТИТЕЛ,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
ТИТЕЛ,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),0,0,1709,0,0,81,1790
ТИТЕЛ,451,СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА (5280 + 5281),0,0,1697,0,0,0,1697
ТИТЕЛ,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,0,0,0,0,0
ТИТЕЛ,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
ТИТЕЛ,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
ТИТЕЛ,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
ТИТЕЛ,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
ТИТЕЛ,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),0,0,31763,0,0,0,31763
ТИТЕЛ,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
ТИТЕЛ,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,0,0,0,0,0
ТИТЕЛ,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
ТИТЕЛ,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),0,0,6032,0,0,0,6032
ТИТЕЛ,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),0,0,7158,0,0,45,7203
ТИТЕЛ,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",0,0,18,0,0,56,74
ТИТЕЛ,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,48,0,0,0,48
ТИТЕЛ,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,1000,0,0,0,1000
ТИТЕЛ,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,0,0,0,0,0
ТИТЕЛ,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
ТИТЕЛ,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),0,11940,25162,0,352,1976,39430
ТИТЕЛ,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),36,0,2219,0,0,146,2401
ТИТЕЛ,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
ТИТЕЛ,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
ТИТЕЛ,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,1106,0,0,109,1215
ТИТЕЛ,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
ТИТЕЛ,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
ТИТЕЛ,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,0,0
ТИТЕЛ,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
ТИТЕЛ,541,ЗЕМЉИШТЕ (5376),0,0,0,0,0,0,0
ТИТЕЛ,542,РУДНА БОГАТСТВА (5378),0,0,0,0,0,0,0
ТИТЕЛ,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
ТИТЕЛ,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
ТИТЕЛ,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,7158,0,0,77,7235
ТИТЕЛ,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
ТИТЕЛ,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
ТИТЕЛ,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
ТИТЕЛ,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,49,0,0,0,49
ТИТЕЛ,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
ТИТЕЛ,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
ТЕМЕРИН,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",4304,0,124404,0,0,5698,134406
ТЕМЕРИН,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),346,0,22069,0,0,1644,24059
ТЕМЕРИН,413,НАКНАДЕ У НАТУРИ (5180),0,0,0,0,0,0,0
ТЕМЕРИН,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),386,0,3741,537,0,369,5033
ТЕМЕРИН,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),0,0,3973,0,0,132,4105
ТЕМЕРИН,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,30,0,0,0,30
ТЕМЕРИН,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,3212,0,0,0,3212
ТЕМЕРИН,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
ТЕМЕРИН,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),155,0,38259,0,12,3344,41770
ТЕМЕРИН,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),122,23,1744,0,0,1284,3173
ТЕМЕРИН,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),140,24,35198,0,202,2170,37734
ТЕМЕРИН,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),1,2000,32255,0,0,4301,38557
ТЕМЕРИН,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),136,0,17267,0,0,1322,18725
ТЕМЕРИН,426,МАТЕРИЈАЛ (од 5230 до 5238),793,7,10510,0,2,10521,21833
ТЕМЕРИН,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),228,0,0,0,0,179,407
ТЕМЕРИН,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
ТЕМЕРИН,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
ТЕМЕРИН,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
ТЕМЕРИН,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,0,0
ТЕМЕРИН,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,1321,0,0,0,1321
ТЕМЕРИН,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,0,0,0,0,0
ТЕМЕРИН,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
ТЕМЕРИН,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),0,0,1,0,0,0,1
ТЕМЕРИН,451,СУБВЕНЦИЈЕ ЈАВНИМ НЕФИНАНСИЈСКИМ ПРЕДУЗЕЋИМА И ОРГАНИЗАЦИЈАМА (5280 + 5281),0,0,24795,0,0,1000,25795
ТЕМЕРИН,452,СУБВЕНЦИЈЕ ПРИВАТНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5283 + 5284),0,0,0,0,0,0,0
ТЕМЕРИН,453,СУБВЕНЦИЈЕ ЈАВНИМ ФИНАНСИЈСКИМ ИНСТИТУЦИЈАМА (5286 + 5287),0,0,0,0,0,0,0
ТЕМЕРИН,454,СУБВЕНЦИЈЕ ПРИВАТНИМ ПРЕДУЗЕЋИМА (5289 + 5290),0,0,0,0,0,0,0
ТЕМЕРИН,461,ДОНАЦИЈЕ СТРАНИМ ВЛАДАМА (5293 + 5294),0,0,0,0,0,0,0
ТЕМЕРИН,462,ДОТАЦИЈЕ МЕЂУНАРОДНИМ ОРГАНИЗАЦИЈАМА (5296 + 5297),0,0,0,0,0,0,0
ТЕМЕРИН,463,ТРАНСФЕРИ ОСТАЛИМ НИВОИМА ВЛАСТИ (5299 + 5300),0,0,74359,0,0,0,74359
ТЕМЕРИН,464,ДОТАЦИЈЕ ОРГАНИЗАЦИЈАМА ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА (5302 + 5303),0,0,0,0,0,0,0
ТЕМЕРИН,465,ОСТАЛЕ ДОТАЦИЈЕ И ТРАНСФЕРИ (5305 + 5306),0,0,274,0,0,0,274
ТЕМЕРИН,471,ПРАВА ИЗ СОЦИЈАЛНОГ ОСИГУРАЊА (ОРГАНИЗАЦИЈЕ ОБАВЕЗНОГ СОЦИЈАЛНОГ ОСИГУРАЊА) (од 5309 до 5311),0,0,0,0,0,0,0
ТЕМЕРИН,472,НАКНАДЕ ЗА СОЦИЈАЛНУ ЗАШТИТУ ИЗ БУЏЕТА (од 5313 до 5321),0,4804,11263,0,0,0,16067
ТЕМЕРИН,481,ДОТАЦИЈЕ НЕВЛАДИНИМ ОРГАНИЗАЦИЈАМА (5324 + 5325),0,0,24252,0,0,277,24529
ТЕМЕРИН,482,"ПОРЕЗИ, ОБАВЕЗНЕ ТАКСЕ И КАЗНЕ (од 5327 до 5329)",0,1,463,0,0,119,583
ТЕМЕРИН,483,НОВЧАНЕ КАЗНЕ И ПЕНАЛИ ПО РЕШЕЊУ СУДОВА (5331),0,0,1399,0,0,0,1399
ТЕМЕРИН,484,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАСТАЛУ УСЛЕД ЕЛЕМЕНТАРНИХ НЕПОГОДА ИЛИ ДРУГИХ ПРИРОДНИХ УЗРОКА (5333 + 5334),0,0,2599,0,0,0,2599
ТЕМЕРИН,485,НАКНАДА ШТЕТЕ ЗА ПОВРЕДЕ ИЛИ ШТЕТУ НАНЕТУ ОД СТРАНЕ ДРЖАВНИХ ОРГАНА (5336),0,0,0,0,0,532,532
ТЕМЕРИН,489,РАСХОДИ КОЈИ СЕ ФИНАНСИРАЈУ ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5338),0,0,0,0,0,0,0
ТЕМЕРИН,511,ЗГРАДЕ И ГРАЂЕВИНСКИ ОБЈЕКТИ (од 5342 до 5345),0,1500,55970,0,0,0,57470
ТЕМЕРИН,512,МАШИНЕ И ОПРЕМА (од 5347 до 5355),1036,0,4417,0,0,118,5571
ТЕМЕРИН,513,ОСТАЛЕ НЕКРЕТНИНЕ И ОПРЕМА (5357),0,0,0,0,0,0,0
ТЕМЕРИН,514,КУЛТИВИСАНА ИМОВИНА (5359),0,0,0,0,0,0,0
ТЕМЕРИН,515,НЕМАТЕРИЈАЛНА ИМОВИНА (5361),0,0,656,0,70,0,726
ТЕМЕРИН,521,РОБНЕ РЕЗЕРВЕ (5364),0,0,0,0,0,0,0
ТЕМЕРИН,522,ЗАЛИХЕ ПРОИЗВОДЊЕ (од 5366 до 5368),0,0,0,0,0,0,0
ТЕМЕРИН,523,ЗАЛИХЕ РОБЕ ЗА ДАЉУ ПРОДАЈУ (5370),0,0,0,0,0,0,0
ТЕМЕРИН,531,ДРАГОЦЕНОСТИ (5373),0,0,0,0,0,0,0
ТЕМЕРИН,541,ЗЕМЉИШТЕ (5376),0,0,0,0,0,0,0
ТЕМЕРИН,542,РУДНА БОГАТСТВА (5378),0,1000,0,0,0,0,1000
ТЕМЕРИН,543,ШУМЕ И ВОДЕ (5380 + 5381),0,0,0,0,0,0,0
ТЕМЕРИН,551,НЕФИНАНСИЈСКА ИМОВИНА КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5384),0,0,0,0,0,0,0
ТЕМЕРИН,611,ОТПЛАТА ГЛАВНИЦЕ ДОМАЋИМ КРЕДИТОРИМА (од 5388 до 5396),0,0,864,0,0,0,864
ТЕМЕРИН,612,ОТПЛАТА ГЛАВНИЦЕ СТРАНИМ КРЕДИТОРИМА (од 5398 до 5404),0,0,0,0,0,0,0
ТЕМЕРИН,613,ОТПЛАТА ГЛАВНИЦЕ ПО ГАРАНЦИЈАМА (5406),0,0,0,0,0,0,0
ТЕМЕРИН,614,ОТПЛАТА ГЛАВНИЦЕ ЗА ФИНАНСИЈСКИ ЛИЗИНГ (5408),0,0,0,0,0,0,0
ТЕМЕРИН,621,НАБАВКА ДОМАЋЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5411 до 5419),0,0,0,0,0,0,0
ТЕМЕРИН,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
