општина,конто,опис конта,република ,аутономна покрајина,општина града,ООСО,донације,остали извори,укупно
КРАГУЈЕВАЦ,622,НАБАВКА СТРАНЕ ФИНАНСИЈСКЕ ИМОВИНЕ (од 5421 до 5428),0,0,0,0,0,0,0
КРАГУЈЕВАЦ,623,НАБАВКА ФИНАНСИЈСКЕ ИМОВИНЕ КОЈА СЕ ФИНАНСИРА ИЗ СРЕДСТАВА ЗА РЕАЛИЗАЦИЈУ НАЦИОНАЛНОГ ИНВЕСТИЦИОНОГ ПЛАНА (5430),0,0,0,0,0,0,0
БАТОЧИНА,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",0,0,38852,0,0,66,38918
БАТОЧИНА,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),0,0,6954,0,0,11,6965
БАТОЧИНА,413,НАКНАДЕ У НАТУРИ (5180),0,0,94,0,0,0,94
БАТОЧИНА,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),315,0,1129,0,0,848,2292
БАТОЧИНА,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),399,0,359,0,0,97,855
БАТОЧИНА,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),0,0,26,0,0,154,180
БАТОЧИНА,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,0,0,0,0,0,0
БАТОЧИНА,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
БАТОЧИНА,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),2384,0,32820,0,241,1040,36485
БАТОЧИНА,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),97,0,972,0,0,100,1169
БАТОЧИНА,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),1300,0,7014,0,113,335,8762
БАТОЧИНА,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),2418,0,18236,0,0,209,20863
БАТОЧИНА,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),68,0,5229,0,87,299,5683
БАТОЧИНА,426,МАТЕРИЈАЛ (од 5230 до 5238),525,0,4261,0,26,1858,6670
БАТОЧИНА,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,0,0
БАТОЧИНА,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
БАТОЧИНА,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
БАТОЧИНА,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
БАТОЧИНА,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,0,0
