fina,Naziv korisnika,Izvršenje 2011,Izvršenje 2012,Izvršenje 2013,Izvršenje 2014
41301,Ministarstvo zdravlja,"1,511,454.22","1,276,310.14","793,247.37","1,248,651.64"
41305,Projekat unapređenja zdravstvenog sistema,"1,629,241.43","3,229,339.84","562,289.46",
41308,Institut za javno zdravlje,"2,382,226.07","2,377,055.07",,
41309,Ljekarska komora,"30,000.00","30,000.00",,
41310,Farmaceutska komora,"8,333.40","15,000.00",,
41401,Ministarstvo ljudskih i manjinskih prava,"1,292,948.62","943,016.77","970,086.31","765,470.92"
41402,Fond za manjine,"947,412.84","895,173.33","882,291.11","925,316.22"
41405,Centar za razvoj i očuvanje kulture manjina Crne Gore,"214,104.81","208,106.54","208,160.52","227,081.03"
41406,Nacionalni savjeti,,,,"300,000.00"
41501,Ministarstvo održivog razvoja i turizma,"13,938,652.43","9,781,917.07","9,894,010.31","10,244,151.91"
41502,Hidrometeorološki zavod,"1,337,215.69","638,750.43",,
41504,Agencija za zaštitu životne sredine,"1,675,562.63","1,486,193.53","1,329,007.30","1,281,699.32"
41506,Direkcija javnih radova,"427,814.82","172,558.21",,
41507,Seizmološki zavod,"284,813.26","86,984.12",,
41508,Zavod za zaštitu prirode,"270,731.47","112,635.75",,
41509,Nacionalna turistička organizacija Crne Gore,"1,617,810.46","1,454,845.88","1,505,194.63","2,308,760.01"
41510,Zavod za hidrometeorologiju i seizmologiju,,"893,502.96","1,484,087.19","1,649,021.27"
41601,Ministarstvo rada i socijalnog staranja,"68,153,861.50","74,053,933.23","73,469,068.32","71,120,854.30"
41602,Zavod za zbrinjavanje izbjeglica,"378,736.57","175,080.92",,
41603,Socijalni savjet,"106,903.76","76,170.88","68,917.25","64,953.77"
41701,Ministarstvo za informaciono društvo i telekomunikacije,"5,783,920.69","3,962,388.94","5,328,729.25","6,189,476.71"
41901,Ministarstvo nauke,"1,823,902.87","2,144,257.02","2,049,423.57","4,060,715.24"
50101,Komisija za sprječavanje sukoba interesa,"229,719.47","224,851.38","234,732.57","219,075.48"
50201,Zaštitnik ljudskih prava i sloboda,"417,087.73","429,711.14","458,103.66","422,558.10"
50301,Državna revizorska institucija,"965,136.16","994,874.65","1,086,678.00","1,132,700.56"
50401,Crnogorska akademija nauka i umjetnosti,"1,374,345.69","851,343.49","386,545.25","1,181,128.36"
